#{"t_start": 1771225423.6887798, "env_id": "None"}
r,l,t
-226.52519,366,3221.453715
-182.69771,394,3222.895985
-259.9649,332,3228.142512
-242.19594,350,3237.286716
-358.5658,431,3240.272321
-211.5287,355,3242.522476
-353.5578,584,3258.864612
-192.59148,402,3260.820052
-293.5284,642,3260.950539
-59.697884,552,3261.377699
-383.54984,410,3263.611887
-354.57358,483,3270.560952
-384.30487,333,3279.769488
-400.48007,348,3280.836782
-384.51495,399,3281.634251
-384.68283,391,3287.589335
-255.71677,369,3298.317253
-402.8698,637,3302.717498
-339.4808,423,3308.767116
-386.49478,534,3315.424549
-165.03859,306,3321.219646
-386.1227,535,3329.479515
-319.4581,325,3330.258842
-269.26697,819,3334.36439
-386.4547,512,3343.279003
-168.11696,467,3345.775227
-260.01126,451,3353.746635
-287.04837,363,3354.424735
-93.51348,648,3366.596212
-288.1021,379,3370.409101
-290.1726,321,3373.947387
-187.81755,500,3374.561327
-261.92776,489,3383.313502
-368.41806,363,3389.6376
-250.62442,307,3394.141619
-268.02466,307,3395.028204
-370.56424,479,3400.455579
-396.04745,356,3407.49933
-262.4683,284,3408.253557
-242.88618,348,3415.861914
-229.40607,400,3426.687617
-322.31177,335,3428.460423
-273.60956,381,3438.296107
-231.5051,397,3438.713913
-319.13553,292,3440.718563
-307.4682,511,3455.695205
-402.4803,548,3456.368459
-294.32193,516,3463.759252
-385.6503,508,3465.168206
1027.6934,5752,3470.841655
-387.74628,698,3473.678633
-354.58676,387,3477.203441
4072.9666,3132,3481.264657
-247.23715,326,3483.158553
-375.6719,660,3492.600635
-283.53903,554,3499.165557
-198.3098,462,3500.370697
-219.53964,388,3501.43418
-390.45502,498,3505.476919
-231.87144,419,3510.660136
-298.71472,272,3511.883842
-352.3246,240,3528.09588
-234.42221,413,3528.811186
-257.8976,414,3530.050894
-396.41733,501,3533.064284
-200.78517,441,3535.032406
-401.70038,520,3544.302829
-262.92157,326,3552.816462
-307.2699,346,3559.430246
-368.97998,425,3560.099913
-278.28073,451,3562.857531
-385.33524,451,3580.729538
-291.5371,344,3580.88976
-293.381,665,3580.995958
-369.53522,371,3583.781009
-384.7508,445,3585.011052
-365.31052,459,3605.770469
-216.4849,396,3606.306355
-369.95483,470,3606.42864
-337.77777,608,3612.92504
-139.81714,559,3615.772388
-234.35661,364,3626.851271
-261.14963,387,3628.796077
-308.97043,313,3633.892837
-290.08685,320,3636.874713
-355.64908,541,3639.376313
-241.17268,285,3648.859509
-225.47092,319,3654.860474
-264.40576,430,3666.390543
-253.83871,303,3666.672793
-319.94785,634,3667.504587
-396.89996,535,3670.227849
880.23755,7816,3682.937406
-214.60301,447,3688.877499
-290.15442,395,3697.265277
-185.21494,389,3697.998947
-338.299,462,3700.907839
-353.6037,422,3702.095601
-336.81366,521,3712.714055
-370.26584,489,3716.90103
-276.33228,314,3721.468135
-355.37994,537,3728.752019
-354.9269,480,3728.876843
-233.38002,383,3735.759987
-247.09637,423,3741.205353
-155.78894,424,3745.771682
-308.36914,340,3749.679276
-401.26004,476,3756.486084
-288.87662,396,3769.84327
-320.98123,546,3771.26942
-140.28241,513,3773.287125
-396.67447,530,3785.877076
-276.2398,449,3798.334224
-306.9807,550,3806.836447
1579.9792,5241,3811.516383
-182.33191,370,3812.05715
-256.24753,618,3812.427952
-217.55286,406,3830.292613
-340.28653,429,3835.543705
-285.54187,679,3848.002814
-386.40228,409,3850.909413
-383.97733,415,3858.142464
-321.8812,355,3868.643692
-357.49158,466,3876.882852
-130.75443,440,3881.860026
-370.06363,539,3897.184284
-353.60077,459,3900.55052
1415.6827,6031,3906.432034
-75.45351,653,3921.021966
-355.24026,388,3922.105845
-195.36029,434,3929.15241
-386.0048,538,3942.489676
-227.07239,428,3947.34887
-292.18036,519,3950.603118
-369.12512,408,3952.404928
-331.63013,301,3964.777726
-175.44763,386,3984.343914
